word,idf,doc_num,index,保险,银行债券,基金,外汇,期货,科技,股票,黄金,total_freq
内饰件,12.350755058638786,3,33763,0,0,0,0,0,0,3,0,3
注塑,11.61378946447258,5,33764,0,0,0,0,1,1,6,0,8
内饰,11.12836263730234,7,33765,0,0,0,0,0,1,37,0,38
切割机,11.935717559359944,4,33766,0,0,1,1,0,0,2,0,4
创升,11.935717559359944,4,33767,0,0,0,0,0,0,9,0,9
外饰,12.935717559359944,2,33768,0,0,0,0,0,0,3,0,3
天瑞,11.61378946447258,5,33769,0,0,3,0,0,0,19,0,22
布雷特,11.61378946447258,5,33770,0,0,0,3,0,1,1,0,5
卡瓦,11.12836263730234,7,33771,0,0,0,9,0,2,2,1,14
违宪,13.935717559359944,1,33772,0,0,0,1,0,0,0,0,1
基特,12.350755058638786,3,33773,0,0,0,2,1,0,0,0,3
霍,11.935717559359944,4,33774,0,0,0,3,1,3,0,0,7
大法官,11.350755058638786,6,33775,0,0,0,10,0,8,0,0,18
莫里茨,13.935717559359944,1,33776,0,0,0,1,0,0,0,0,1
免职,10.476285940722645,11,33777,4,1,6,1,0,1,2,0,15
College,13.935717559359944,1,33778,0,0,0,1,0,0,0,0,1
Hockett,13.935717559359944,1,33779,0,0,0,1,0,0,0,0,1
康奈尔大学,11.935717559359944,4,33780,0,0,0,3,0,0,1,0,4
Roosevelt,13.935717559359944,1,33781,0,0,0,1,0,0,0,0,1
正当理由,11.61378946447258,5,33782,0,0,0,1,0,0,4,0,5
彼得,10.61378946447258,10,33783,0,0,0,3,2,1,4,2,12
谢恩,13.935717559359944,1,33784,0,0,0,1,0,0,0,0,1
law,13.935717559359944,1,33785,0,0,0,1,0,0,0,0,1
俄亥俄,11.12836263730234,7,33786,0,0,0,2,5,0,0,0,7
Moritz,13.935717559359944,1,33787,0,0,0,1,0,0,0,0,1
sec,13.935717559359944,1,33788,0,0,0,1,0,0,0,0,1
获何猷,12.350755058638786,3,33789,0,0,0,0,0,0,4,0,4
转转,12.350755058638786,3,33790,0,0,0,0,1,5,0,0,6
工种,12.935717559359944,2,33791,0,0,0,0,1,0,0,1,2
西双版纳,11.350755058638786,6,33792,0,1,0,0,6,1,2,0,10
六七千元,12.350755058638786,3,33793,1,0,0,0,1,1,0,0,3
要少,11.12836263730234,7,33794,0,0,1,1,1,2,1,1,7
复合肥,12.350755058638786,3,33795,0,0,0,0,1,0,2,0,3
天气状况,11.12836263730234,7,33796,0,0,0,0,7,0,0,0,7
产期,11.61378946447258,5,33797,0,0,0,0,4,0,1,0,5
版纳,12.935717559359944,2,33798,0,0,0,0,2,0,1,0,3
灌溉,10.61378946447258,10,33799,1,1,2,0,7,0,0,0,11
扩种,12.935717559359944,2,33800,0,0,0,0,2,0,0,0,2
胶林,13.935717559359944,1,33801,0,0,0,0,4,0,0,0,4
田间管理,12.350755058638786,3,33802,2,0,0,0,1,0,0,0,3
万莱,13.935717559359944,1,33803,0,0,0,0,3,0,0,0,3
六月份,12.350755058638786,3,33804,0,0,0,3,2,1,0,0,6
标胶,12.935717559359944,2,33805,0,0,0,0,6,0,0,0,6
株,11.350755058638786,6,33806,0,0,1,0,6,0,0,0,7
此行,11.935717559359944,4,33807,0,0,2,0,2,0,0,1,5
点钟,11.935717559359944,4,33808,0,0,1,0,1,1,1,0,4
香蕉,11.61378946447258,5,33809,0,0,0,0,4,3,0,0,7
乳胶,12.935717559359944,2,33810,0,0,0,0,8,0,0,0,8
中化,10.61378946447258,10,33811,2,0,0,0,4,0,23,0,29
周边国家,11.350755058638786,6,33812,1,0,0,1,2,0,2,0,6
胶块,13.935717559359944,1,33813,0,0,0,0,3,0,0,0,3
协办,10.935717559359944,8,33814,0,0,0,1,10,0,0,0,11
农业用地,12.935717559359944,2,33815,0,2,0,0,1,0,0,0,3
有机肥,12.935717559359944,2,33816,0,0,0,0,5,0,0,0,5
老挝,12.935717559359944,2,33817,0,0,0,0,3,0,1,0,4
烟片,12.935717559359944,2,33818,0,0,0,0,5,0,0,0,5
Doll,13.935717559359944,1,33819,0,0,0,0,0,0,3,0,3
西湖,11.61378946447258,5,33820,5,0,0,0,0,0,3,0,8
南昌,9.291861369585218,25,33821,7,6,0,1,7,6,9,0,36
益阳,11.12836263730234,7,33822,5,0,0,0,2,0,3,0,10
平顶山,11.12836263730234,7,33823,5,1,0,0,0,1,3,0,10
阿尔,12.935717559359944,2,33824,0,0,0,0,0,0,2,1,3
虽给,13.935717559359944,1,33825,0,0,0,0,0,0,0,1,1
Jubran,13.935717559359944,1,33826,0,0,0,0,0,0,0,1,1
Salman,11.12836263730234,7,33827,0,0,0,2,4,1,0,2,9
Jassim,13.935717559359944,1,33828,0,0,0,0,0,0,0,1,1
贾兹拉,13.935717559359944,1,33829,0,0,0,0,0,0,0,1,1
系共,12.935717559359944,2,33830,0,0,0,0,0,3,0,0,3
人员构成,11.61378946447258,5,33831,1,0,1,0,0,2,1,0,5
家庭用户,12.935717559359944,2,33832,0,0,0,0,0,2,1,0,3
消费结构,10.235277841218851,13,33833,0,0,1,0,4,2,8,0,15
Venture,12.350755058638786,3,33834,0,0,0,0,0,1,2,0,3
十分迅速,11.350755058638786,6,33835,2,1,1,0,1,1,0,0,6
净水,12.935717559359944,2,33836,0,0,0,0,0,3,1,0,4
梁振鹏,12.350755058638786,3,33837,0,0,0,0,0,3,0,0,3
JJ,11.935717559359944,4,33838,0,0,0,2,0,0,2,0,4
PIMCO,10.235277841218851,13,33839,0,0,0,10,0,0,0,4,14
系紧,12.350755058638786,3,33840,0,0,0,1,0,0,0,2,3
Kinahan,11.935717559359944,4,33841,0,0,0,2,0,0,2,0,4
Ameritrade,11.12836263730234,7,33842,0,0,0,3,0,0,4,0,7
驾到,12.935717559359944,2,33843,0,0,0,1,0,0,0,3,4
Thu,10.76579255791763,9,33844,0,0,0,7,0,0,0,2,9
严峻考验,10.76579255791763,9,33845,0,0,0,6,0,3,0,1,10
Lan,10.028826963751424,15,33846,0,0,0,8,0,0,0,7,15
心头,10.76579255791763,9,33847,0,2,0,0,1,0,4,2,9
Nguyen,10.61378946447258,10,33848,0,0,0,9,0,0,1,2,12
培生,11.350755058638786,6,33849,4,0,0,0,0,0,5,0,9
易捷,11.935717559359944,4,33850,0,0,0,0,0,0,4,0,4
缘,10.476285940722645,11,33851,0,0,1,0,0,0,39,0,40
今世,10.476285940722645,11,33852,0,0,1,0,0,0,36,0,37
禁烟,13.935717559359944,1,33853,0,0,0,0,0,0,1,0,1
股早,11.61378946447258,5,33854,0,0,0,0,1,0,4,0,5
表征,11.935717559359944,4,33855,0,0,1,1,0,1,1,0,4
时间轴,11.935717559359944,4,33856,1,0,0,0,0,0,3,0,4
高居榜首,11.12836263730234,7,33857,0,0,0,0,1,1,5,0,7
自科,12.350755058638786,3,33858,0,0,0,0,0,0,3,0,3
京能,12.350755058638786,3,33859,4,0,0,0,0,0,2,0,6
空港,11.350755058638786,6,33860,0,0,0,0,0,0,7,0,7
航油,12.935717559359944,2,33861,0,0,0,0,0,0,5,0,5
肖远企,11.935717559359944,4,33862,10,1,0,0,0,0,0,0,11
贾飙,12.350755058638786,3,33863,6,0,0,0,0,0,0,0,6
拆弹,11.350755058638786,6,33864,1,2,0,0,0,0,3,0,6
取得成效,11.12836263730234,7,33865,1,2,0,0,0,1,3,0,7
治乱,10.476285940722645,11,33866,7,1,0,0,0,0,5,0,13
张爽,12.350755058638786,3,33867,3,0,0,0,0,0,0,0,3
封杀,10.028826963751424,15,33868,1,1,0,0,1,14,1,1,19
更重,10.935717559359944,8,33869,1,0,1,0,1,2,0,3,8
安全部门,12.935717559359944,2,33870,0,0,0,2,0,1,0,0,3
聿,10.76579255791763,9,33871,0,0,0,0,0,9,0,0,9
HMK,11.935717559359944,4,33872,0,0,0,0,0,0,7,0,7
测试题,13.935717559359944,1,33873,0,0,0,0,0,0,3,0,3
满分,10.935717559359944,8,33874,4,0,1,0,0,0,3,0,8
统计学,11.12836263730234,7,33875,1,0,3,0,0,1,2,0,7
西南财经大学,11.350755058638786,6,33876,2,1,0,0,1,0,3,0,7
建构,10.476285940722645,11,33877,1,3,2,0,0,0,8,1,15
施教,12.935717559359944,2,33878,0,0,0,0,0,0,5,0,5
问卷调查,11.61378946447258,5,33879,0,1,1,0,0,1,20,0,23
博士生,11.350755058638786,6,33880,0,1,2,0,0,1,3,0,7
平均分,11.61378946447258,5,33881,1,0,0,0,0,1,4,0,6
国民教育,12.935717559359944,2,33882,0,0,0,0,0,0,3,0,3
学术界,10.61378946447258,10,33883,0,0,0,5,2,0,5,0,12
作出贡献,11.350755058638786,6,33884,0,0,0,0,0,0,6,0,6
展露,10.61378946447258,10,33885,2,1,1,0,0,0,6,1,11
一心,10.935717559359944,8,33886,1,2,1,0,0,1,4,0,9
中炬高新,11.12836263730234,7,33887,10,0,1,0,0,0,13,0,24
玻,11.61378946447258,5,33888,4,0,1,0,0,0,4,0,9
对梅雁,13.935717559359944,1,33889,1,0,0,0,0,0,0,0,1
中新大,12.935717559359944,2,33890,2,0,0,0,0,0,0,0,2
宝能系,12.350755058638786,3,33891,2,0,0,0,0,0,7,0,9
宝能,13.935717559359944,1,33892,1,0,0,0,0,0,0,0,1
潮涌,10.235277841218851,13,33893,0,0,2,3,0,0,9,0,14
保龄,12.350755058638786,3,33894,0,0,0,0,0,0,8,0,8
聚灿,11.61378946447258,5,33895,0,0,0,0,0,0,31,0,31
雏鹰,10.350755058638786,12,33896,1,19,0,0,9,0,51,0,80
唯恐,11.350755058638786,6,33897,1,1,0,0,0,3,2,0,7
因大,12.350755058638786,3,33898,0,0,0,0,0,0,3,0,3
权人,12.350755058638786,3,33899,2,0,0,0,0,0,2,0,4
银禧,13.935717559359944,1,33900,0,0,0,0,0,0,6,0,6
瑞晨,13.935717559359944,1,33901,0,0,0,0,0,0,3,0,3
联动性,10.128362637302338,14,33902,1,1,4,2,5,0,3,1,17
中盘股,10.935717559359944,8,33903,0,0,8,0,0,0,7,0,15
测试阶段,12.935717559359944,2,33904,0,0,0,0,0,1,1,0,2
姜治莹,12.350755058638786,3,33905,0,0,3,0,0,0,0,0,3
吴浈,12.350755058638786,3,33906,0,0,3,0,0,0,0,0,3
高俊芳,11.61378946447258,5,33907,0,0,3,0,0,0,2,0,5
产品检验,12.350755058638786,3,33908,0,0,3,0,0,0,0,0,3
长春市委,12.350755058638786,3,33909,0,0,3,0,0,0,0,0,3
冻干,11.350755058638786,6,33910,0,0,3,0,0,0,4,0,7
泰格,10.935717559359944,8,33911,0,0,6,0,0,0,3,0,9
计生委,11.350755058638786,6,33912,6,0,3,0,0,0,0,0,9
社部发,12.350755058638786,3,33913,0,0,3,0,0,0,0,0,3
引咎辞职,11.12836263730234,7,33914,0,1,3,0,0,7,2,0,13
委和,11.61378946447258,5,33915,0,0,3,0,1,0,1,0,5
省委常委,11.61378946447258,5,33916,0,1,3,0,0,0,1,0,5
百白破,11.61378946447258,5,33917,0,0,3,0,0,0,2,0,5
暂按,11.61378946447258,5,33918,1,0,4,0,0,0,0,0,5
长龙,10.76579255791763,9,33919,0,0,3,0,0,1,5,0,9
毕井泉,12.350755058638786,3,33920,0,0,3,0,0,0,0,0,3
末所持,12.350755058638786,3,33921,0,0,3,0,0,0,0,0,3
丽珠集团,11.12836263730234,7,33922,0,0,3,0,0,0,29,0,32
张晶,12.350755058638786,3,33923,0,0,3,0,0,0,0,0,3
代市长,11.935717559359944,4,33924,0,0,3,0,0,0,1,0,4
批捕,11.350755058638786,6,33925,0,0,3,0,0,0,3,1,7
走衰,11.935717559359944,4,33926,0,0,3,0,0,1,0,0,4
延边朝鲜族自治州,12.350755058638786,3,33927,0,0,3,0,0,0,0,0,3
长春市,11.12836263730234,7,33928,1,0,12,0,2,1,0,0,16
郭洪志,12.350755058638786,3,33929,0,0,3,0,0,0,0,0,3
处理结果,10.476285940722645,11,33930,1,2,3,0,0,2,3,0,11
以触,12.350755058638786,3,33931,0,0,3,0,0,0,0,0,3
名非,11.935717559359944,4,33932,0,0,3,0,0,0,1,0,4
药化,12.350755058638786,3,33933,0,0,6,0,0,0,0,0,6
公安分局,11.61378946447258,5,33934,0,0,3,1,1,0,0,0,5
吉林长春,12.350755058638786,3,33935,0,0,3,0,0,0,0,0,3
任原,11.61378946447258,5,33936,2,0,3,0,0,0,0,0,5
金育辉,12.350755058638786,3,33937,0,0,3,0,0,0,0,0,3
唐若迪,12.350755058638786,3,33938,0,0,3,0,0,0,0,0,3
批号,12.350755058638786,3,33939,0,0,3,0,0,0,0,0,3
李晋,12.350755058638786,3,33940,0,0,3,0,0,0,0,0,3
总局局长,11.935717559359944,4,33941,0,0,3,0,0,0,2,0,5
中管,11.350755058638786,6,33942,3,0,3,0,0,0,0,0,6
狂犬病,11.61378946447258,5,33943,0,0,3,0,0,0,3,0,6
吸附,12.350755058638786,3,33944,0,0,3,0,0,0,0,0,3
前提条件,9.935717559359944,16,33945,1,0,3,5,0,1,4,2,16
合二为一,12.350755058638786,3,33946,1,0,0,0,0,0,2,0,3
鲁珀特,13.935717559359944,1,33947,0,0,0,0,0,0,1,0,1
福克斯公司,11.61378946447258,5,33948,0,0,0,0,0,3,4,0,7
默多克,11.61378946447258,5,33949,0,0,0,0,0,8,11,0,19
京华,12.350755058638786,3,33950,0,0,0,0,0,0,4,0,4
今创,12.350755058638786,3,33951,0,0,1,0,0,0,2,0,3
后仅,11.350755058638786,6,33952,0,1,0,1,0,2,2,0,6
德赛,11.12836263730234,7,33953,2,0,3,0,0,0,4,0,9
恒林,13.935717559359944,1,33954,0,0,0,0,0,0,2,0,2
振江,13.935717559359944,1,33955,0,0,0,0,0,0,4,0,4
一签,11.935717559359944,4,33956,0,1,0,0,0,0,5,0,6
电路,12.935717559359944,2,33957,0,0,0,0,0,2,1,0,3
第四天,10.935717559359944,8,33958,0,0,0,3,0,2,1,3,9
永福,11.61378946447258,5,33959,0,0,3,0,0,0,9,0,12
宏川,12.935717559359944,2,33960,0,0,0,0,0,0,2,0,2
西威,11.935717559359944,4,33961,0,0,2,0,0,0,3,0,5
每中,12.935717559359944,2,33962,0,0,0,0,0,0,3,0,3
长长的,11.350755058638786,6,33963,0,0,0,0,0,0,4,2,6
十种,12.350755058638786,3,33964,0,0,0,0,1,0,2,0,3
通用设备,11.12836263730234,7,33965,0,0,0,0,4,0,4,0,8
副食品,10.61378946447258,10,33966,0,0,1,0,3,1,6,0,11
非金属矿,11.61378946447258,5,33967,0,0,0,0,1,0,5,0,6
集体企业,11.350755058638786,6,33968,1,1,0,0,1,0,3,0,6
个大类,11.61378946447258,5,33969,1,0,0,0,1,0,3,0,5
制品业,11.61378946447258,5,33970,0,0,0,0,1,0,6,0,7
表行,11.935717559359944,4,33971,0,0,0,0,0,0,5,0,5
FMR,12.350755058638786,3,33972,0,0,1,0,0,0,6,0,7
自沪,12.935717559359944,2,33973,0,0,0,0,0,0,3,0,3
李滨彬,11.61378946447258,5,33974,0,1,0,0,0,0,4,0,5
挂号信,11.350755058638786,6,33975,0,2,0,0,0,0,5,0,7
磨损,12.935717559359944,2,33976,1,0,0,0,0,0,2,0,3
IPI,12.935717559359944,2,33977,0,0,0,0,0,0,2,0,2
面为,12.935717559359944,2,33978,0,0,0,0,0,0,3,0,3
农林牧渔业,11.350755058638786,6,33979,0,3,0,0,0,0,5,0,8
购进,10.350755058638786,12,33980,1,0,1,0,9,0,12,1,24
见图,10.350755058638786,12,33981,3,3,0,11,4,5,2,0,28
筛出,11.935717559359944,4,33982,0,0,0,0,0,0,4,0,4
只高,12.350755058638786,3,33983,0,0,0,0,0,0,3,0,3
潜力股,10.235277841218851,13,33984,0,0,0,0,0,1,18,0,19
蟒佰利,10.61378946447258,10,33985,0,0,0,0,24,0,8,0,32
莱克,10.476285940722645,11,33986,0,0,0,0,3,0,8,6,17
所写,11.12836263730234,7,33987,0,0,0,2,0,0,1,4,7
以收于,13.935717559359944,1,33988,0,0,0,0,0,0,0,1,1
Oasis,13.935717559359944,1,33989,0,0,0,0,0,0,3,0,3
蓬莱,12.935717559359944,2,33990,0,1,0,0,4,0,0,0,5
海宁,11.935717559359944,4,33991,1,1,0,0,2,0,1,0,5
捷赢,13.935717559359944,1,33992,0,3,0,0,0,0,0,0,3
日产,10.76579255791763,9,33993,0,1,0,0,6,1,13,1,22
宿迁,11.61378946447258,5,33994,0,1,0,0,0,4,5,0,10
乐山,12.935717559359944,2,33995,0,3,0,0,0,0,0,0,3
附息,11.935717559359944,4,33996,0,9,0,0,1,0,0,1,11
重阳节,12.935717559359944,2,33997,0,0,0,0,0,0,0,4,4
高华,11.935717559359944,4,33998,0,0,1,0,0,0,3,1,5
财达,12.935717559359944,2,33999,0,0,0,0,0,0,1,1,2
贸易规模,12.350755058638786,3,34000,0,0,0,1,2,0,0,0,3
国际清算银行,10.235277841218851,13,34001,0,3,0,9,0,0,0,3,15
两番,11.935717559359944,4,34002,0,0,0,1,0,0,2,1,4
看得见,11.12836263730234,7,34003,3,0,0,1,0,3,2,0,9
五国,12.935717559359944,2,34004,0,0,0,3,0,0,0,0,3
奥尼尔,13.935717559359944,1,34005,0,0,0,6,0,0,0,0,6
Open,11.61378946447258,5,34006,0,0,0,1,0,0,0,4,5
Chartered,10.61378946447258,10,34007,0,0,0,4,0,0,1,5,10
错乱,11.61378946447258,5,34008,0,0,0,0,0,0,1,4,5
夺走,9.935717559359944,16,34009,0,0,0,7,0,2,0,7,16
Woodward,11.935717559359944,4,34010,0,0,0,0,0,0,0,4,4
ScotiaMocatta,11.350755058638786,6,34011,0,0,0,0,0,0,0,9,9
Committee,11.935717559359944,4,34012,0,0,0,1,0,0,1,2,4
该书,11.61378946447258,5,34013,6,0,0,0,0,0,0,4,10
示弱,12.350755058638786,3,34014,0,0,1,0,2,0,0,0,3
已长,11.61378946447258,5,34015,1,1,2,0,0,1,0,0,5
秘笈,12.350755058638786,3,34016,0,0,2,0,0,1,0,0,3
杨明,12.350755058638786,3,34017,1,0,3,0,0,0,0,0,4
处室,11.61378946447258,5,34018,3,1,0,0,0,0,1,0,5
已交,12.350755058638786,3,34019,2,0,0,0,0,0,1,0,3
不爽,11.935717559359944,4,34020,0,0,0,0,0,1,5,0,6
主力部队,11.935717559359944,4,34021,0,0,0,0,0,0,8,0,8
手记,12.350755058638786,3,34022,0,0,0,0,0,0,3,0,3
自担,11.350755058638786,6,34023,0,0,0,0,1,0,5,0,6
对博天,12.935717559359944,2,34024,0,0,0,0,0,0,2,0,2
张道,12.350755058638786,3,34025,0,0,0,0,0,0,3,0,3
不好意思,11.935717559359944,4,34026,0,0,0,0,0,2,2,0,4
早评,12.935717559359944,2,34027,0,0,0,1,0,0,2,0,3
而博天,13.935717559359944,1,34028,0,0,0,0,0,0,1,0,1
博天,11.350755058638786,6,34029,0,0,0,0,0,0,19,0,19
总在管,11.61378946447258,5,34030,0,0,0,0,0,0,5,0,5
犯了错,12.935717559359944,2,34031,0,0,0,2,0,0,0,0,2
Post,11.935717559359944,4,34032,0,0,0,3,0,1,0,0,4
Washington,10.935717559359944,8,34033,0,1,0,5,0,1,1,0,8
在思想上,12.935717559359944,2,34034,0,1,0,0,0,0,1,0,2
交往,11.61378946447258,5,34035,0,3,0,1,1,0,1,0,6
形式主义,12.350755058638786,3,34036,0,1,0,0,1,1,0,0,3
廉洁,10.61378946447258,10,34037,0,1,0,0,4,0,25,0,30
民主集中制,12.935717559359944,2,34038,0,1,0,0,0,0,1,0,2
执纪,12.350755058638786,3,34039,1,1,1,0,0,0,0,0,3
班子成员,12.935717559359944,2,34040,1,1,0,0,0,0,0,0,2
模范,11.935717559359944,4,34041,1,1,0,0,0,2,0,0,4
表率,11.350755058638786,6,34042,0,2,2,0,0,0,2,0,6
各级党委,12.350755058638786,3,34043,2,1,0,0,1,0,0,0,4
各银,12.935717559359944,2,34044,0,1,1,0,0,0,0,0,2
举一反三,11.12836263730234,7,34045,1,2,0,0,0,3,1,0,7
集中统一,11.350755058638786,6,34046,1,1,0,0,3,0,2,0,7
分会场,12.350755058638786,3,34047,0,3,0,0,0,0,1,0,4
管好,11.350755058638786,6,34048,1,6,0,0,0,0,2,0,9
系统实施,11.935717559359944,4,34049,0,1,0,0,0,0,11,0,12
选人,10.61378946447258,10,34050,7,3,3,0,0,0,1,0,14
创了,12.350755058638786,3,34051,0,0,0,1,0,0,2,0,3
增加收入,11.350755058638786,6,34052,0,1,0,2,0,1,2,0,6
联合国教科文组织,12.350755058638786,3,34053,0,0,0,2,0,0,1,0,3
万国邮政联盟,11.61378946447258,5,34054,0,0,0,1,0,1,1,3,6
Fink,12.935717559359944,2,34055,0,0,0,2,0,0,0,1,3
屈指可数,10.235277841218851,13,34056,1,0,3,3,4,0,2,1,14
刺破,11.350755058638786,6,34057,0,0,0,4,0,1,2,1,8
有恃无恐,12.350755058638786,3,34058,0,0,0,3,0,0,0,0,3
TPP,11.935717559359944,4,34059,0,0,0,5,0,0,0,0,5
退群,10.76579255791763,9,34060,0,0,0,3,1,3,1,4,12
撕毁,11.12836263730234,7,34061,1,0,0,4,0,1,1,0,7
毫不留情,12.935717559359944,2,34062,0,0,2,1,0,0,0,0,3
深受其害,12.350755058638786,3,34063,0,0,0,1,2,0,0,0,3
妄为,11.935717559359944,4,34064,0,0,0,1,1,2,0,0,4
财务部,10.476285940722645,11,34065,5,0,0,1,0,0,6,0,12
滚雪球,10.76579255791763,9,34066,0,0,2,2,0,1,2,2,9
屠夫,13.935717559359944,1,34067,0,0,0,0,0,1,0,0,1
Tso,13.935717559359944,1,34068,0,0,0,0,0,1,0,0,1
復,13.935717559359944,1,34069,0,0,0,0,0,1,0,0,1
挺住,13.935717559359944,1,34070,0,0,0,0,0,1,0,0,1
接受程度,9.61378946447258,20,34071,2,6,2,1,6,1,3,0,21
偏度,12.935717559359944,2,34072,0,0,0,0,3,0,0,0,3
红枣,10.935717559359944,8,34073,0,0,0,0,9,0,0,0,9
水到渠成,10.935717559359944,8,34074,1,2,0,0,1,1,2,1,8
平值,11.935717559359944,4,34075,0,0,0,0,5,0,0,0,5
Sheryl,11.935717559359944,4,34076,0,0,0,0,0,3,1,0,4
Shawn,12.350755058638786,3,34077,0,0,1,0,0,1,1,0,3
Luken,12.935717559359944,2,34078,0,0,0,2,0,0,2,0,4
Ogg,13.935717559359944,1,34079,0,0,0,0,0,0,2,0,2
Bridge,11.935717559359944,4,34080,0,0,0,0,0,0,4,0,4
Tower,12.350755058638786,3,34081,0,0,0,0,0,0,3,0,3
Sandberg,11.935717559359944,4,34082,0,0,0,0,0,3,1,0,4
同稳,11.61378946447258,5,34083,0,0,0,0,0,0,5,0,5
宓迪,11.350755058638786,6,34084,0,3,0,1,0,0,2,0,6
清澈,12.350755058638786,3,34085,0,0,0,0,0,0,3,0,3
战略地位,10.935717559359944,8,34086,0,0,0,0,2,2,4,0,8
余到,12.350755058638786,3,34087,0,0,0,0,0,0,3,0,3
兖,11.12836263730234,7,34088,0,0,0,0,0,0,11,0,11
汲取,10.76579255791763,9,34089,0,0,1,0,1,5,5,0,12
张啸川,13.935717559359944,1,34090,0,0,19,0,0,0,0,0,19
良方,11.350755058638786,6,34091,1,0,1,0,0,0,4,0,6
少亏,12.350755058638786,3,34092,0,0,1,0,1,0,0,1,3
持基,11.350755058638786,6,34093,1,0,11,0,0,0,0,0,12
方法论,10.935717559359944,8,34094,2,1,5,0,0,0,0,0,8
消灭,10.935717559359944,8,34095,1,0,2,1,0,0,6,0,10
尼古拉斯,11.61378946447258,5,34096,0,0,1,0,0,0,1,3,5
随机性,11.935717559359944,4,34097,3,0,2,0,0,0,0,0,5
塔勒,13.935717559359944,1,34098,0,0,5,0,0,0,0,0,5
酷爱,12.350755058638786,3,34099,2,0,1,0,0,0,0,0,3
相处,11.935717559359944,4,34100,1,0,2,2,0,0,1,0,6
著作,11.12836263730234,7,34101,0,0,2,0,1,0,3,1,7
注射剂,11.935717559359944,4,34102,0,0,0,0,0,0,11,0,11
纯销,12.350755058638786,3,34103,0,0,0,0,0,0,4,0,4
伟,10.76579255791763,9,34104,2,0,0,0,7,0,5,0,14
心脑血管,11.350755058638786,6,34105,0,0,0,0,0,0,8,0,8
中成药,10.935717559359944,8,34106,0,0,2,0,0,0,16,0,18
何文英,11.935717559359944,4,34107,0,0,0,0,1,0,3,0,4
前该,11.935717559359944,4,34108,0,0,1,0,0,0,3,0,4
绑,12.935717559359944,2,34109,0,0,0,0,0,2,1,0,3
Tool,11.12836263730234,7,34110,0,0,0,4,0,0,1,2,7
供热,11.12836263730234,7,34111,0,0,1,0,1,0,16,0,18
海纳通,13.935717559359944,1,34112,0,0,0,0,0,0,1,0,1
代表人,10.61378946447258,10,34113,5,1,0,0,0,0,19,0,25
付英,13.935717559359944,1,34114,0,0,0,0,0,0,4,0,4
鼎富,13.935717559359944,1,34115,0,0,0,0,0,0,1,0,1
一两家,11.61378946447258,5,34116,1,0,0,0,0,1,3,0,5
周原,12.935717559359944,2,34117,0,0,0,0,0,0,9,0,9
北燃,13.935717559359944,1,34118,0,0,0,0,0,0,4,0,4
崔淦清,13.935717559359944,1,34119,0,0,0,0,0,0,2,0,2
金房,13.935717559359944,1,34120,0,0,0,0,0,0,7,0,7
润滑,13.935717559359944,1,34121,0,0,0,0,0,0,2,0,2
基础油,13.935717559359944,1,34122,0,0,0,0,0,0,2,0,2
燃金房,13.935717559359944,1,34123,0,0,0,0,0,0,1,0,1
药效,12.350755058638786,3,34124,0,0,1,0,0,0,2,0,3
杨建勋,13.935717559359944,1,34125,0,0,0,0,0,0,4,0,4
慢走,13.935717559359944,1,34126,0,0,0,0,0,0,1,0,1
家获,11.935717559359944,4,34127,0,0,1,0,0,0,4,0,5
净凌,13.935717559359944,1,34128,0,0,0,0,0,0,1,0,1
魏澄,13.935717559359944,1,34129,0,0,0,0,0,0,2,0,2
共管,12.935717559359944,2,34130,0,0,3,0,0,0,1,0,4
周过,13.935717559359944,1,34131,0,0,0,0,0,0,1,0,1
丁琦等,13.935717559359944,1,34132,0,0,0,0,0,0,1,0,1
丁琦,13.935717559359944,1,34133,0,0,0,0,0,0,1,0,1
工商部门,10.476285940722645,11,34134,1,0,4,0,1,2,5,0,13
公共数据,12.350755058638786,3,34135,0,2,0,0,0,3,0,0,5
氢氧化锂,12.935717559359944,2,34136,0,0,0,0,0,0,9,0,9
素来,11.61378946447258,5,34137,0,0,1,2,0,0,1,1,5
NCA,12.350755058638786,3,34138,0,0,0,0,2,0,1,0,3
碳酸锂,12.350755058638786,3,34139,0,0,0,0,0,0,4,0,4
澳矿,12.935717559359944,2,34140,0,0,0,0,1,0,1,0,2
正极,11.61378946447258,5,34141,0,0,0,0,3,0,2,0,5
LG,10.350755058638786,12,34142,0,0,0,0,3,9,11,0,23
鉴证,12.350755058638786,3,34143,1,1,0,0,0,0,1,0,3
特殊要求,11.935717559359944,4,34144,0,1,0,0,0,0,3,0,4
清晰明确,11.935717559359944,4,34145,0,2,1,0,0,0,1,0,4
前为,11.350755058638786,6,34146,0,0,0,1,3,0,0,5,9
喷气,12.935717559359944,2,34147,0,0,0,0,1,0,0,4,5
低时,11.12836263730234,7,34148,0,0,0,1,2,0,3,1,7
for,10.128362637302338,14,34149,0,0,0,5,1,3,3,2,14
FederalFundFutures,12.935717559359944,2,34150,0,0,0,0,2,0,0,1,3
中证报,11.350755058638786,6,34151,1,1,0,3,0,0,1,0,6
八道,11.935717559359944,4,34152,0,0,0,1,0,0,5,0,6
八日,11.935717559359944,4,34153,0,0,0,4,0,0,2,0,6
惊慌,11.350755058638786,6,34154,0,0,1,2,0,0,1,2,6
重上,10.935717559359944,8,34155,0,0,0,2,1,0,5,3,11
宣读,10.935717559359944,8,34156,0,0,0,0,7,0,2,0,9
